Date,AAPL,,,
2026-03-31,253.556381225586,,,
2026-04-01,255.39469909668,,,
2026-04-02,255.684432983398,,,
2026-04-06,258.621704101563,,,
2026-04-07,253.266662597656,,,
2026-04-08,258.661682128906,,,
2026-04-09,260.250213623047,,,
2026-04-10,260.240234375,,,
2026-04-13,258.96142578125,,,
2026-04-14,258.591735839844,,,
2026-04-15,266.184753417969,,,
2026-04-16,263.157531738281,,,
2026-04-17,269.981262207031,,,
2026-04-20,272.798645019531,,,
2026-04-21,265.925018310547,,,
2026-04-22,272.918579101563,,,
2026-04-23,273.178314208984,,,
2026-04-24,270.810485839844,,,
2026-04-27,267.363647460938,,,
2026-04-28,270.460815429688,,,
2026-04-29,269.921325683594,,,
2026-04-30,271.100250244141,,,
2026-05-01,279.882141113281,,,
2026-05-04,276.575164794922,,,
2026-05-05,283.918426513672,,,
2026-05-06,287.245361328125,,,
2026-05-07,287.175415039063,,,
2026-05-08,293.050018310547,,,
2026-05-11,292.679992675781,,,
2026-05-12,294.799987792969,,,
2026-05-13,298.869995117188,,,
2026-05-14,298.209991455078,,,
2026-05-15,300.230010986328,,,
2026-05-18,297.839996337891,,,
2026-05-19,298.970001220703,,,
2026-05-20,302.25,,,
2026-05-21,304.989990234375,,,
